26, -0.327171 -2.074372 -1.996057 -1.251644 0.015032 -0.116101 0.099563 0.093061 0.136749 0.165423 0.165058 0.171731 0.14034 0.132969 0.110195 0.066597 0.038804 0.009464 0.038761 0.104579 -0.011055 0.170876 0.171316 0.073513 -0.00276 -0.000605 0.013515 0.003005 -0.034914 0.137529 -0.020595 -5.916192 2.938975 -0.174683 0.27063;
27, -0.328576 -1.789712 -0.215283 -1.422034 -1.153599 -0.116283 0.04769 0.050799 0.088153 0.129332 0.114591 0.1263 0.120536 0.092894 0.072665 0.069422 0.083113 0.080766 0.016346 0.120998 0.08177 0.135731 0.12935 0.119716 0.1626 0.088317 0.037275 0.173174 0.137726 -0.012761 0.110587 -2.414438 2.481851 -0.365744 0.168499;
28, -0.276839 -1.432612 -0.295706 -0.54497 -0.028236 0.029508 0.090103 0.000468 0.009958 0.03927 0.018044 0.034371 0.037585 0.065734 0.042054 0.021443 0.04285 0.038374 0.016423 0.03028 0.015417 0.098551 0.014215 0.059677 0.047537 -0.016285 -0.034744 -0.026687 -0.00294 -0.043725 0.019337 -0.828932 1.627027 -0.631141 -0.914448;
29, 0.415977 -1.129487 -0.111054 -0.317758 -0.671886 -0.046373 0.02798 0.072841 -0.011174 0.002063 0.017223 -0.013353 -0.025105 0.062316 0.072356 0.051018 0.026324 -0.010295 0.036518 0.059376 0.038198 0.119621 0.137683 0.202722 0.183816 0.106004 0.145551 0.138012 0.084458 0.080089 0.075741 -0.719945 1.74715 -0.566103 -0.646843;
30, 2.264199 -0.36545 -1.266246 -0.614027 -0.933393 0.055343 0.112446 0.052664 0.069007 0.03032 0.04796 0.058876 0.032328 0.016852 0.00171 -0.005647 -0.018147 0.006916 0.002464 0.00001 -0.022328 0.004335 0.012039 -0.009423 0.041326 0.015688 -0.010311 -0.004241 -0.026286 -0.008958 0.033064 -0.764475 0.4853 -0.648534 -1.018552;
31, 1.632408 0.468277 -0.380199 -0.338976 -0.587759 0.07001 0.059729 -0.019454 -0.026227 -0.024564 -0.028834 -0.024555 -0.025963 -0.010751 -0.045442 -0.058953 -0.034577 0.015456 0.000455 0.026555 0.001893 0.029992 0.047826 -0.008939 -0.001345 -0.009912 0.078149 0.028225 -0.015109 0.080237 0.036961 0.329448 -0.288304 -0.504744 -0.697655;
32, 1.171436 0.448955 0.369841 0.19318 -0.810882 0.033187 -0.02807 -0.09142 -0.083428 -0.02936 0.005121 -0.017157 0.005163 0.021612 0.017475 0.012242 -0.006957 -0.034219 0.020787 0.026609 0.015326 0.019569 0.0516 0.11135 0.082789 0.039802 0.057158 0.081694 0.062714 0.028612 0.047992 0.304149 -0.256341 0.034333 0.114831;
33, 1.851635 -0.051802 0.33723 1.130047 -0.96632 0.077809 0.036653 -0.004018 -0.022769 -0.027558 0.019949 -0.033864 -0.009651 -0.010652 -0.01659 -0.038457 -0.049769 -0.018883 -0.024789 0.072078 -0.01089 0.086084 0.013333 0.00957 0.098531 0.054257 0.059145 0.104202 0.076659 0.098738 0.030191 0.288021 -0.271465 -0.538132 -0.722365;
34, -0.081757 -0.600046 0.149715 2.600615 -0.696814 0.01972 0.003993 -0.008731 -0.024927 -0.004211 -0.024028 -0.028144 -0.021915 -0.023855 0.008836 -0.005726 -0.011253 -0.01152 -0.041399 -0.032051 -0.052842 -0.034902 -0.031 -0.018394 -0.036248 -0.03849 -0.012998 -0.005614 -0.00904 -0.034345 -0.042936 0.280057 -0.240691 -0.5301 -0.649591;
35, -0.013693 -0.566859 0.896413 3.627551 -0.637383 0.002639 -0.068287 0.035821 -0.068105 -0.018915 -0.026814 -0.051216 -0.002916 -0.048351 -0.024904 -0.03736 -0.016966 -0.036488 -0.028975 -0.043851 -0.045716 -0.010418 -0.008657 -0.005341 -0.028757 -0.024582 -0.013107 0.016817 0.049598 0.066375 0.062071 0.37021 -0.34073 -0.066916 0.561331;
36, -0.290784 -0.198853 0.754043 2.570915 -0.578504 -0.046054 -0.116453 0.01305 -0.052228 -0.039548 -0.045851 0.023621 0.001475 -0.031133 -0.033915 0.016273 0.027931 0.013312 0.008537 0.035576 -0.060102 0.025403 -0.024066 0.009526 0.045554 0.010071 0.06423 0.018978 0.019659 0.061172 0.000386 0.364149 -0.327914 1.379505 1.954373;
37, -0.296215 -0.635265 0.48268 1.293462 0.486274 -0.018365 -0.08317 0.057683 0.086236 0.064755 -0.065039 -0.002659 -0.010493 -0.026286 -0.017016 -0.073132 -0.008227 -0.025448 -0.076309 -0.052915 -0.024393 0.02262 0.013911 0.006474 0.076696 0.038298 0.066724 0.045887 0.012459 0.013241 0.033637 0.316797 -0.300395 0.851182 1.532589;
38, -0.554517 0.340471 0.39358 1.170973 0.86138 -0.059256 -0.120309 0.107165 0.028712 0.018632 -0.012769 -0.089932 -0.130575 -0.128754 -0.104777 -0.004621 0.072478 -0.101756 0.053923 -0.023224 -0.059523 -0.06634 -0.006208 -0.040682 -0.060751 -0.024789 -0.044717 -0.059383 0.03642 -0.032672 -0.056847 0.40509 -0.379876 1.79032 2.456589;
39, -0.260723 -1.366001 -2.086845 -1.083759 -1.864186 -0.019743 0.103346 0.064103 0.117485 0.119016 0.125282 0.124933 0.103824 0.099946 0.035833 0.006505 0.028103 0.004112 -0.034649 -0.052817 -0.04907 -0.004708 0.011242 0.020654 0.01085 0.00146 -0.0327 -0.028919 -0.034457 -0.034987 -0.024759 -3.520644 1.352116 -0.691073 -1.035828;
